course_id,course_grade,enrollments
ECON-211,A+,9
ECON-211,A-,15
ECON-211,B,10
ECON-211,B+,5
ECON-211,B-,6
ECON-211,C,6
ECON-211,C+,2
ECON-211,D,3
ECON-211,F,2
ECON-211,RD,1
ECON-211,RF,1
ECON-212,A,3
ECON-212,A-,4
ECON-212,B,3
ECON-212,B+,4
ECON-212,B-,3
ECON-212,C,1
ECON-212,C+,1
ECON-235,A+,1
ECON-240,A,1
ECON-240,B,2
ECON-240,B-,1
ECON-240,C+,1
EDUC-275,A,3
EDUC-275,A+,5
ENGR-101,A,1
ENGR-101,B+,1
ENGR-120,A,1
ENGR-180A2,A,5
ENGR-180A2,A+,6
ENGR-180A2,W,1
ENGR-533,A,1
ERHS-210,XB,1
ERHS-220,A,32
ERHS-220,A+,43
ERHS-220,A-,9
ERHS-220,B,5
ERHS-220,B+,7
ERHS-220,C,1
ERHS-220,F,2
ERHS-220,I,2
ERHS-220,RF,1
ERHS-230,A,17
ERHS-230,B,7
ERHS-320,A,7
ERHS-320,A+,1
ERHS-320,A-,16
ERHS-320,B+,4
ERHS-320,B-,1
ERHS-320,C,1
ERHS-320,I,1
ERHS-332,A,8
ERHS-332,B,6
ERHS-332,C,1
ERHS-332,XF,1
ERHS-340,A,8
ERHS-340,B,7
ERHS-340,C,3
ERHS-350,A,16
ERHS-380A1,A,1
ERHS-410,A+,1
ERHS-410,A-,1
ERHS-410,B+,3
